Weight	Nested	Procedure	SoundFileName	Condition
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms_10ed.WAV	2
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	tray165_310ms.WAV	1
1		SoundTrial	trai165_310ms_90t.WAV	3
